




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	human_orthologs_for_go_enrichment.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	human_orthologs_for_go_enrichment.txt (3154)	human_orthologs_for_go_enrichment.txt (expected)	human_orthologs_for_go_enrichment.txt (over/under)	human_orthologs_for_go_enrichment.txt (fold Enrichment)	human_orthologs_for_go_enrichment.txt (raw P-value)	human_orthologs_for_go_enrichment.txt (FDR)
plasma membrane bounded cell projection morphogenesis (GO:0120039)	506	40	76.54	-	.52	1.62E-05	3.81E-04
cell projection morphogenesis (GO:0048858)	510	40	77.14	-	.52	1.28E-05	3.15E-04
keratinocyte differentiation (GO:0030216)	269	21	40.69	-	.52	2.08E-03	2.70E-02
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	258	20	39.03	-	.51	2.27E-03	2.91E-02
regulation of angiogenesis (GO:0045765)	284	22	42.96	-	.51	1.16E-03	1.63E-02
tube development (GO:0035295)	860	66	130.09	-	.51	3.92E-09	1.88E-07
regulation of vasculature development (GO:1901342)	287	22	43.41	-	.51	9.09E-04	1.33E-02
blood vessel development (GO:0001568)	502	38	75.93	-	.50	5.91E-06	1.57E-04
neuron projection morphogenesis (GO:0048812)	502	38	75.93	-	.50	5.91E-06	1.57E-04
localization of cell (GO:0051674)	1112	84	168.21	-	.50	5.63E-12	3.75E-10
cell motility (GO:0048870)	1112	84	168.21	-	.50	5.63E-12	3.74E-10
negative regulation of developmental process (GO:0051093)	887	67	134.17	-	.50	1.06E-09	5.51E-08
keratinization (GO:0031424)	226	17	34.19	-	.50	2.96E-03	3.62E-02
regulation of blood circulation (GO:1903522)	293	22	44.32	-	.50	7.26E-04	1.11E-02
ear development (GO:0043583)	227	17	34.34	-	.50	2.98E-03	3.64E-02
negative regulation of cell adhesion (GO:0007162)	284	21	42.96	-	.49	6.07E-04	9.45E-03
negative regulation of cell differentiation (GO:0045596)	643	47	97.26	-	.48	8.84E-08	3.27E-06
mesenchyme development (GO:0060485)	219	16	33.13	-	.48	2.52E-03	3.16E-02
animal organ morphogenesis (GO:0009887)	972	71	147.03	-	.48	2.94E-11	1.77E-09
locomotion (GO:0040011)	1346	97	203.60	-	.48	1.12E-15	1.06E-13
regulation of leukocyte activation (GO:0002694)	625	45	94.54	-	.48	8.05E-08	3.01E-06
negative regulation of response to external stimulus (GO:0032102)	557	40	84.25	-	.47	4.19E-07	1.41E-05
regulation of epithelial cell proliferation (GO:0050678)	349	25	52.79	-	.47	7.59E-05	1.50E-03
leukocyte differentiation (GO:0002521)	350	25	52.94	-	.47	7.65E-05	1.51E-03
angiogenesis (GO:0001525)	323	23	48.86	-	.47	1.49E-04	2.75E-03
sensory organ morphogenesis (GO:0090596)	267	19	40.39	-	.47	5.54E-04	8.74E-03
negative regulation of defense response (GO:0031348)	398	28	60.20	-	.47	1.71E-05	3.99E-04
cell morphogenesis involved in neuron differentiation (GO:0048667)	456	32	68.98	-	.46	3.55E-06	9.84E-05
heart morphogenesis (GO:0003007)	244	17	36.91	-	.46	8.40E-04	1.25E-02
regulation of Ras protein signal transduction (GO:0046578)	201	14	30.40	-	.46	2.27E-03	2.91E-02
axonogenesis (GO:0007409)	389	27	58.84	-	.46	1.40E-05	3.37E-04
regulation of cell activation (GO:0050865)	667	46	100.89	-	.46	7.42E-09	3.35E-07
axon development (GO:0061564)	423	29	63.98	-	.45	4.32E-06	1.18E-04
second-messenger-mediated signaling (GO:0019932)	351	24	53.09	-	.45	2.90E-05	6.44E-04
blood vessel morphogenesis (GO:0048514)	415	28	62.77	-	.45	4.69E-06	1.27E-04
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	208	14	31.46	-	.44	1.34E-03	1.85E-02
positive regulation of cell adhesion (GO:0045785)	431	29	65.19	-	.44	2.56E-06	7.29E-05
regulation of lymphocyte activation (GO:0051249)	536	36	81.08	-	.44	1.17E-07	4.25E-06
regulation of inflammatory response (GO:0050727)	551	37	83.35	-	.44	8.51E-08	3.17E-06
regulation of leukocyte differentiation (GO:1902105)	285	19	43.11	-	.44	1.52E-04	2.79E-03
defense response to bacterium (GO:0042742)	347	23	52.49	-	.44	2.42E-05	5.47E-04
regulation of T cell activation (GO:0050863)	333	22	50.37	-	.44	3.34E-05	7.31E-04
positive regulation of leukocyte activation (GO:0002696)	425	28	64.29	-	.44	2.11E-06	6.12E-05
cell migration (GO:0016477)	977	64	147.78	-	.43	1.14E-13	8.96E-12
skeletal system morphogenesis (GO:0048705)	229	15	34.64	-	.43	5.59E-04	8.79E-03
regulation of cell junction assembly (GO:1901888)	199	13	30.10	-	.43	1.43E-03	1.96E-02
cell morphogenesis involved in differentiation (GO:0000904)	568	37	85.92	-	.43	2.24E-08	9.23E-07
nervous system process (GO:0050877)	1403	91	212.22	-	.43	1.37E-19	1.49E-17
positive regulation of cell activation (GO:0050867)	436	28	65.95	-	.42	7.04E-07	2.25E-05
embryonic organ development (GO:0048568)	454	29	68.67	-	.42	3.88E-07	1.31E-05
leukocyte migration (GO:0050900)	381	24	57.63	-	.42	2.55E-06	7.27E-05
regulation of cell-cell adhesion (GO:0022407)	433	27	65.50	-	.41	4.25E-07	1.42E-05
regulation of signaling receptor activity (GO:0010469)	177	11	26.77	-	.41	1.58E-03	2.15E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	323	20	48.86	-	.41	1.21E-05	2.99E-04
tube morphogenesis (GO:0035239)	664	41	100.44	-	.41	1.67E-10	9.59E-09
lymphocyte mediated immunity (GO:0002449)	261	16	39.48	-	.41	1.04E-04	1.97E-03
regulation of T cell differentiation (GO:0045580)	147	9	22.24	-	.40	4.08E-03	4.71E-02
positive regulation of cell-cell adhesion (GO:0022409)	280	17	42.35	-	.40	4.20E-05	8.99E-04
positive regulation of lymphocyte activation (GO:0051251)	380	23	57.48	-	.40	1.55E-06	4.62E-05
chemotaxis (GO:0006935)	548	33	82.89	-	.40	3.78E-09	1.85E-07
positive regulation of T cell activation (GO:0050870)	216	13	32.67	-	.40	3.57E-04	5.93E-03
taxis (GO:0042330)	550	33	83.20	-	.40	3.87E-09	1.88E-07
embryonic morphogenesis (GO:0048598)	585	35	88.49	-	.40	8.54E-10	4.49E-08
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	236	14	35.70	-	.39	1.46E-04	2.70E-03
multicellular organismal signaling (GO:0035637)	137	8	20.72	-	.39	4.26E-03	4.90E-02
negative regulation of immune system process (GO:0002683)	587	34	88.79	-	.38	3.80E-10	2.09E-08
extracellular matrix organization (GO:0030198)	363	21	54.91	-	.38	9.07E-07	2.81E-05
extracellular structure organization (GO:0043062)	364	21	55.06	-	.38	9.07E-07	2.81E-05
regulation of neuron differentiation (GO:0045664)	191	11	28.89	-	.38	5.02E-04	8.00E-03
negative regulation of neurogenesis (GO:0050768)	140	8	21.18	-	.38	3.17E-03	3.84E-02
lymphocyte differentiation (GO:0030098)	246	14	37.21	-	.38	6.13E-05	1.26E-03
detection of stimulus (GO:0051606)	712	40	107.70	-	.37	1.29E-12	9.27E-11
regulation of epithelial cell differentiation (GO:0030856)	144	8	21.78	-	.37	2.37E-03	3.00E-02
regulation of B cell activation (GO:0050864)	217	12	32.82	-	.37	1.13E-04	2.12E-03
negative regulation of nervous system development (GO:0051961)	146	8	22.08	-	.36	1.74E-03	2.30E-02
tissue morphogenesis (GO:0048729)	550	30	83.20	-	.36	2.16E-10	1.23E-08
positive regulation of epithelial cell proliferation (GO:0050679)	202	11	30.56	-	.36	2.10E-04	3.70E-03
determination of bilateral symmetry (GO:0009855)	129	7	19.51	-	.36	3.22E-03	3.90E-02
phagocytosis, engulfment (GO:0006911)	130	7	19.66	-	.36	3.24E-03	3.92E-02
specification of symmetry (GO:0009799)	130	7	19.66	-	.36	3.24E-03	3.92E-02
sensory perception (GO:0007600)	981	52	148.39	-	.35	1.92E-18	2.03E-16
connective tissue development (GO:0061448)	209	11	31.61	-	.35	1.16E-04	2.19E-03
positive regulation of B cell activation (GO:0050871)	171	9	25.87	-	.35	5.20E-04	8.25E-03
central nervous system neuron differentiation (GO:0021953)	193	10	29.19	-	.34	1.52E-04	2.79E-03
synapse organization (GO:0050808)	273	14	41.29	-	.34	5.71E-06	1.52E-04
neuron projection guidance (GO:0097485)	278	14	42.05	-	.33	3.01E-06	8.45E-05
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	219	11	33.13	-	.33	4.68E-05	9.87E-04
morphogenesis of an epithelium (GO:0002009)	440	22	66.56	-	.33	2.24E-09	1.13E-07
limb development (GO:0060173)	181	9	27.38	-	.33	2.07E-04	3.67E-03
appendage development (GO:0048736)	181	9	27.38	-	.33	2.07E-04	3.67E-03
regulation of cytosolic calcium ion concentration (GO:0051480)	322	16	48.71	-	.33	3.66E-07	1.24E-05
neural tube development (GO:0021915)	162	8	24.50	-	.33	3.72E-04	6.15E-03
embryonic organ morphogenesis (GO:0048562)	304	15	45.98	-	.33	6.56E-07	2.11E-05
regulation of interleukin-6 production (GO:0032675)	142	7	21.48	-	.33	9.33E-04	1.36E-02
regulation of myeloid leukocyte differentiation (GO:0002761)	122	6	18.45	-	.33	2.36E-03	2.99E-02
cell junction organization (GO:0034330)	491	24	74.27	-	.32	1.46E-10	8.46E-09
determination of left/right symmetry (GO:0007368)	123	6	18.61	-	.32	2.38E-03	3.01E-02
negative regulation of immune response (GO:0050777)	349	17	52.79	-	.32	8.00E-08	3.00E-06
regulation of blood vessel diameter (GO:0097746)	144	7	21.78	-	.32	9.55E-04	1.39E-02
regulation of tube diameter (GO:0035296)	144	7	21.78	-	.32	9.55E-04	1.39E-02
regulation of tube size (GO:0035150)	145	7	21.93	-	.32	6.80E-04	1.05E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	270	13	40.84	-	.32	2.13E-06	6.14E-05
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	250	12	37.82	-	.32	5.25E-06	1.41E-04
negative regulation of cell-cell adhesion (GO:0022408)	188	9	28.44	-	.32	1.12E-04	2.12E-03
cardiac ventricle development (GO:0003231)	127	6	19.21	-	.31	1.75E-03	2.32E-02
axon guidance (GO:0007411)	277	13	41.90	-	.31	1.13E-06	3.46E-05
limb morphogenesis (GO:0035108)	151	7	22.84	-	.31	5.14E-04	8.17E-03
appendage morphogenesis (GO:0035107)	151	7	22.84	-	.31	5.14E-04	8.16E-03
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	13	42.81	-	.30	5.99E-07	1.94E-05
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	132	6	19.97	-	.30	9.02E-04	1.33E-02
branching morphogenesis of an epithelial tube (GO:0048754)	132	6	19.97	-	.30	9.02E-04	1.32E-02
epithelial tube morphogenesis (GO:0060562)	309	14	46.74	-	.30	1.85E-07	6.57E-06
positive regulation of leukocyte differentiation (GO:1902107)	156	7	23.60	-	.30	2.61E-04	4.49E-03
positive regulation of hemopoiesis (GO:1903708)	156	7	23.60	-	.30	2.61E-04	4.48E-03
negative regulation of lymphocyte activation (GO:0051250)	157	7	23.75	-	.29	2.67E-04	4.56E-03
epithelial cell development (GO:0002064)	203	9	30.71	-	.29	2.22E-05	5.06E-04
cornification (GO:0070268)	113	5	17.09	-	.29	2.32E-03	2.97E-02
negative regulation of cell activation (GO:0050866)	208	9	31.46	-	.29	1.15E-05	2.85E-04
negative regulation of inflammatory response (GO:0050728)	324	14	49.01	-	.29	3.57E-08	1.43E-06
cell junction assembly (GO:0034329)	279	12	42.20	-	.28	2.92E-07	1.01E-05
cell-cell junction organization (GO:0045216)	187	8	28.29	-	.28	4.06E-05	8.70E-04
negative regulation of leukocyte activation (GO:0002695)	187	8	28.29	-	.28	4.06E-05	8.68E-04
regulation of biomineralization (GO:0110149)	94	4	14.22	-	.28	4.18E-03	4.81E-02
cell-substrate adhesion (GO:0031589)	188	8	28.44	-	.28	2.83E-05	6.31E-04
endothelium development (GO:0003158)	95	4	14.37	-	.28	4.19E-03	4.82E-02
anterior/posterior pattern specification (GO:0009952)	215	9	32.52	-	.28	5.96E-06	1.58E-04
cell recognition (GO:0008037)	239	10	36.15	-	.28	1.76E-06	5.16E-05
negative regulation of T cell activation (GO:0050868)	121	5	18.30	-	.27	8.43E-04	1.26E-02
primary neural tube formation (GO:0014020)	97	4	14.67	-	.27	2.99E-03	3.64E-02
morphogenesis of embryonic epithelium (GO:0016331)	146	6	22.08	-	.27	2.46E-04	4.25E-03
positive regulation of leukocyte proliferation (GO:0070665)	150	6	22.69	-	.26	1.80E-04	3.22E-03
endocrine system development (GO:0035270)	126	5	19.06	-	.26	6.18E-04	9.60E-03
immunoglobulin mediated immune response (GO:0016064)	203	8	30.71	-	.26	7.75E-06	2.02E-04
cell-cell junction assembly (GO:0007043)	127	5	19.21	-	.26	4.30E-04	6.97E-03
nephron development (GO:0072006)	127	5	19.21	-	.26	4.30E-04	6.96E-03
cell-cell adhesion (GO:0098609)	510	20	77.14	-	.26	2.21E-13	1.69E-11
positive regulation of T cell proliferation (GO:0042102)	102	4	15.43	-	.26	2.15E-03	2.77E-02
B cell mediated immunity (GO:0019724)	206	8	31.16	-	.26	5.51E-06	1.47E-04
cell-matrix adhesion (GO:0007160)	129	5	19.51	-	.26	4.39E-04	7.08E-03
cyclic-nucleotide-mediated signaling (GO:0019935)	181	7	27.38	-	.26	1.83E-05	4.23E-04
cartilage development (GO:0051216)	156	6	23.60	-	.25	9.10E-05	1.78E-03
embryonic skeletal system development (GO:0048706)	131	5	19.82	-	.25	3.06E-04	5.19E-03
neural tube formation (GO:0001841)	105	4	15.88	-	.25	1.52E-03	2.08E-02
biological adhesion (GO:0022610)	953	36	144.15	-	.25	3.63E-25	5.44E-23
morphogenesis of a branching epithelium (GO:0061138)	159	6	24.05	-	.25	6.45E-05	1.31E-03
cell adhesion (GO:0007155)	947	35	143.25	-	.24	2.25E-25	3.44E-23
regulation of interferon-gamma production (GO:0032649)	109	4	16.49	-	.24	1.10E-03	1.57E-02
positive regulation of lymphocyte proliferation (GO:0050671)	138	5	20.87	-	.24	1.55E-04	2.85E-03
regulation of humoral immune response (GO:0002920)	138	5	20.87	-	.24	1.55E-04	2.84E-03
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	194	7	29.35	-	.24	4.70E-06	1.27E-04
positive regulation of mononuclear cell proliferation (GO:0032946)	139	5	21.03	-	.24	1.59E-04	2.89E-03
morphogenesis of a branching structure (GO:0001763)	168	6	25.41	-	.24	2.28E-05	5.16E-04
cardiac chamber development (GO:0003205)	171	6	25.87	-	.23	1.61E-05	3.78E-04
formation of primary germ layer (GO:0001704)	116	4	17.55	-	.23	5.63E-04	8.84E-03
artery development (GO:0060840)	88	3	13.31	-	.23	2.71E-03	3.35E-02
pattern specification process (GO:0007389)	443	15	67.01	-	.22	3.99E-13	3.03E-11
tube formation (GO:0035148)	148	5	22.39	-	.22	5.54E-05	1.15E-03
positive regulation of T cell differentiation (GO:0045582)	89	3	13.46	-	.22	2.78E-03	3.43E-02
axis specification (GO:0009798)	89	3	13.46	-	.22	2.78E-03	3.43E-02
humoral immune response (GO:0006959)	386	13	58.39	-	.22	1.27E-11	8.07E-10
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	90	3	13.61	-	.22	1.88E-03	2.47E-02
positive regulation of interleukin-6 production (GO:0032755)	91	3	13.76	-	.22	1.90E-03	2.49E-02
regionalization (GO:0003002)	335	11	50.67	-	.22	2.00E-10	1.14E-08
Unclassified (UNCLASSIFIED)	2839	91	429.44	-	.21	3.86E-87	4.08E-84
embryonic epithelial tube formation (GO:0001838)	125	4	18.91	-	.21	1.93E-04	3.43E-03
cell fate commitment (GO:0045165)	250	8	37.82	-	.21	4.34E-08	1.71E-06
regulation of neural precursor cell proliferation (GO:2000177)	96	3	14.52	-	.21	9.22E-04	1.35E-02
cardiac chamber morphogenesis (GO:0003206)	128	4	19.36	-	.21	1.35E-04	2.50E-03
cAMP-mediated signaling (GO:0019933)	160	5	24.20	-	.21	1.34E-05	3.22E-04
regulation of alpha-beta T cell activation (GO:0046634)	97	3	14.67	-	.20	9.24E-04	1.35E-02
kidney epithelium development (GO:0072073)	130	4	19.66	-	.20	9.18E-05	1.79E-03
nephron epithelium development (GO:0072009)	98	3	14.82	-	.20	9.43E-04	1.38E-02
embryonic skeletal system morphogenesis (GO:0048704)	98	3	14.82	-	.20	9.43E-04	1.38E-02
epithelial tube formation (GO:0072175)	133	4	20.12	-	.20	6.40E-05	1.31E-03
regulation of synapse assembly (GO:0051963)	101	3	15.28	-	.20	6.55E-04	1.01E-02
peptide cross-linking (GO:0018149)	101	3	15.28	-	.20	6.55E-04	1.01E-02
gland morphogenesis (GO:0022612)	101	3	15.28	-	.20	6.55E-04	1.01E-02
regulation of T cell proliferation (GO:0042129)	172	5	26.02	-	.19	3.17E-06	8.88E-05
regulation of leukocyte proliferation (GO:0070663)	244	7	36.91	-	.19	1.65E-08	6.96E-07
ameboidal-type cell migration (GO:0001667)	182	5	27.53	-	.18	1.08E-06	3.30E-05
adaptive immune response (GO:0002250)	628	17	94.99	-	.18	4.49E-21	5.35E-19
B cell differentiation (GO:0030183)	112	3	16.94	-	.18	1.49E-04	2.75E-03
regulation of lymphocyte proliferation (GO:0050670)	225	6	34.03	-	.18	3.79E-08	1.52E-06
G protein-coupled receptor signaling pathway (GO:0007186)	1323	35	200.12	-	.17	2.14E-44	8.07E-42
regulation of mononuclear cell proliferation (GO:0032944)	227	6	34.34	-	.17	2.58E-08	1.05E-06
dorsal/ventral pattern formation (GO:0009953)	81	2	12.25	-	.16	1.59E-03	2.15E-02
mesoderm development (GO:0007498)	123	3	18.61	-	.16	5.04E-05	1.06E-03
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	5	31.46	-	.16	5.85E-08	2.23E-06
kidney morphogenesis (GO:0060993)	84	2	12.71	-	.16	1.09E-03	1.55E-02
regulation of interleukin-1 beta production (GO:0032651)	86	2	13.01	-	.15	7.27E-04	1.11E-02
regulation of inflammatory response to antigenic stimulus (GO:0002861)	221	5	33.43	-	.15	1.35E-08	5.84E-07
positive regulation of neuron differentiation (GO:0045666)	90	2	13.61	-	.15	5.08E-04	8.09E-03
epithelial cell migration (GO:0010631)	91	2	13.76	-	.15	5.29E-04	8.37E-03
epithelium migration (GO:0090132)	94	2	14.22	-	.14	3.60E-04	5.98E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	99	2	14.98	-	.13	1.61E-04	2.92E-03
synapse assembly (GO:0007416)	100	2	15.13	-	.13	1.67E-04	3.00E-03
positive regulation of cell junction assembly (GO:1901890)	105	2	15.88	-	.13	7.45E-05	1.47E-03
regulation of Notch signaling pathway (GO:0008593)	106	2	16.03	-	.12	7.69E-05	1.52E-03
neuropeptide signaling pathway (GO:0007218)	109	2	16.49	-	.12	5.21E-05	1.09E-03
detection of stimulus involved in sensory perception (GO:0050906)	550	10	83.20	-	.12	2.90E-22	3.74E-20
regulation of complement activation (GO:0030449)	117	2	17.70	-	.11	1.58E-05	3.72E-04
sprouting angiogenesis (GO:0002040)	59	1	8.92	-	.11	3.55E-03	4.25E-02
mammary gland epithelium development (GO:0061180)	59	1	8.92	-	.11	3.55E-03	4.24E-02
positive regulation of protein tyrosine kinase activity (GO:0061098)	59	1	8.92	-	.11	3.55E-03	4.24E-02
O-glycan processing (GO:0016266)	61	1	9.23	-	.11	3.76E-03	4.44E-02
SMAD protein signal transduction (GO:0060395)	62	1	9.38	-	.11	2.40E-03	3.03E-02
artery morphogenesis (GO:0048844)	63	1	9.53	-	.10	2.43E-03	3.06E-02
forebrain generation of neurons (GO:0021872)	64	1	9.68	-	.10	2.52E-03	3.16E-02
detection of chemical stimulus (GO:0009593)	521	8	78.81	-	.10	2.16E-22	2.83E-20
positive regulation of synapse assembly (GO:0051965)	66	1	9.98	-	.10	1.63E-03	2.21E-02
neuron fate commitment (GO:0048663)	66	1	9.98	-	.10	1.63E-03	2.20E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	137	2	20.72	-	.10	1.60E-06	4.72E-05
chondrocyte differentiation (GO:0002062)	70	1	10.59	-	.09	1.14E-03	1.61E-02
ventricular septum development (GO:0003281)	71	1	10.74	-	.09	7.30E-04	1.11E-02
outflow tract morphogenesis (GO:0003151)	72	1	10.89	-	.09	7.37E-04	1.12E-02
opsonization (GO:0008228)	73	1	11.04	-	.09	7.62E-04	1.15E-02
smoothened signaling pathway (GO:0007224)	75	1	11.34	-	.09	4.94E-04	7.91E-03
sensory perception of chemical stimulus (GO:0007606)	538	7	81.38	-	.09	1.94E-24	2.74E-22
nephron tubule development (GO:0072080)	77	1	11.65	-	.09	3.30E-04	5.53E-03
chemokine-mediated signaling pathway (GO:0070098)	79	1	11.95	-	.08	3.42E-04	5.70E-03
renal tubule development (GO:0061326)	80	1	12.10	-	.08	2.21E-04	3.87E-03
ureteric bud development (GO:0001657)	85	1	12.86	-	.08	1.53E-04	2.81E-03
mesonephric tubule development (GO:0072164)	86	1	13.01	-	.08	9.95E-05	1.92E-03
mesonephric epithelium development (GO:0072163)	86	1	13.01	-	.08	9.95E-05	1.92E-03
cell fate specification (GO:0001708)	87	1	13.16	-	.08	9.95E-05	1.91E-03
cellular response to chemokine (GO:1990869)	89	1	13.46	-	.07	1.08E-04	2.05E-03
response to chemokine (GO:1990868)	89	1	13.46	-	.07	1.08E-04	2.04E-03
mesonephros development (GO:0001823)	90	1	13.61	-	.07	6.66E-05	1.35E-03
cardiac septum development (GO:0003279)	109	1	16.49	-	.06	6.02E-06	1.60E-04
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	4	73.36	-	.05	1.26E-24	1.80E-22
regulation of osteoblast differentiation (GO:0045667)	122	1	18.45	-	.05	1.24E-06	3.75E-05
B cell receptor signaling pathway (GO:0050853)	132	1	19.97	-	.05	2.29E-07	8.05E-06
sensory perception of smell (GO:0007608)	466	2	70.49	-	.03	5.99E-26	9.80E-24
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	256	1	38.72	-	.03	1.03E-14	8.98E-13
regulation of acute inflammatory response (GO:0002673)	49	0	7.41	-	 < 0.01	2.12E-03	2.75E-02
cardiac septum morphogenesis (GO:0060411)	73	0	11.04	-	 < 0.01	7.07E-05	1.41E-03
complement activation, classical pathway (GO:0006958)	161	0	24.35	-	 < 0.01	2.06E-10	1.18E-08
complement activation (GO:0006956)	177	0	26.77	-	 < 0.01	2.56E-11	1.55E-09
phagocytosis, recognition (GO:0006910)	104	0	15.73	-	 < 0.01	6.36E-07	2.05E-05
positive regulation of osteoblast differentiation (GO:0045669)	62	0	9.38	-	 < 0.01	2.40E-04	4.16E-03
negative regulation of osteoblast differentiation (GO:0045668)	48	0	7.26	-	 < 0.01	2.04E-03	2.65E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	166	0	25.11	-	 < 0.01	1.48E-10	8.53E-09
regulation of vasoconstriction (GO:0019229)	62	0	9.38	-	 < 0.01	2.40E-04	4.15E-03
ventral spinal cord development (GO:0021517)	50	0	7.56	-	 < 0.01	1.32E-03	1.83E-02
cell differentiation in spinal cord (GO:0021515)	58	0	8.77	-	 < 0.01	5.91E-04	9.22E-03
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	0	25.26	-	 < 0.01	8.84E-11	5.20E-09
mesonephric tubule morphogenesis (GO:0072171)	54	0	8.17	-	 < 0.01	8.68E-04	1.29E-02
negative regulation of mononuclear cell proliferation (GO:0032945)	86	0	13.01	-	 < 0.01	8.06E-06	2.09E-04
nephron epithelium morphogenesis (GO:0072088)	66	0	9.98	-	 < 0.01	1.58E-04	2.88E-03
neural crest cell migration (GO:0001755)	54	0	8.17	-	 < 0.01	8.68E-04	1.28E-02
nephron tubule morphogenesis (GO:0072078)	64	0	9.68	-	 < 0.01	2.52E-04	4.34E-03
mesoderm formation (GO:0001707)	69	0	10.44	-	 < 0.01	1.03E-04	1.98E-03
nephron morphogenesis (GO:0072028)	67	0	10.13	-	 < 0.01	1.65E-04	2.99E-03
positive regulation of interleukin-1 beta production (GO:0032731)	54	0	8.17	-	 < 0.01	8.68E-04	1.28E-02
membrane depolarization (GO:0051899)	52	0	7.87	-	 < 0.01	1.39E-03	1.91E-02
morphogenesis of an epithelial sheet (GO:0002011)	51	0	7.71	-	 < 0.01	1.33E-03	1.84E-02
response to progesterone (GO:0032570)	48	0	7.26	-	 < 0.01	2.04E-03	2.65E-02
negative regulation of leukocyte proliferation (GO:0070664)	92	0	13.92	-	 < 0.01	3.46E-06	9.60E-05
negative chemotaxis (GO:0050919)	46	0	6.96	-	 < 0.01	3.26E-03	3.92E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	440	0	66.56	-	 < 0.01	1.42E-27	2.65E-25
digestive tract morphogenesis (GO:0048546)	49	0	7.41	-	 < 0.01	2.12E-03	2.74E-02
autonomic nervous system development (GO:0048483)	47	0	7.11	-	 < 0.01	2.02E-03	2.63E-02
negative regulation of lymphocyte proliferation (GO:0050672)	85	0	12.86	-	 < 0.01	1.30E-05	3.18E-04
mesoderm morphogenesis (GO:0048332)	71	0	10.74	-	 < 0.01	6.71E-05	1.35E-03
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	48	0	7.26	-	 < 0.01	2.04E-03	2.65E-02
renal tubule morphogenesis (GO:0061333)	67	0	10.13	-	 < 0.01	1.65E-04	2.98E-03
negative regulation of T cell proliferation (GO:0042130)	69	0	10.44	-	 < 0.01	1.03E-04	1.98E-03
ureteric bud morphogenesis (GO:0060675)	53	0	8.02	-	 < 0.01	8.60E-04	1.28E-02
neuron recognition (GO:0008038)	49	0	7.41	-	 < 0.01	2.12E-03	2.74E-02
